Phoneme,SegmentClass
(w)æ,vowel
(w)ɑ,vowel
a̘,vowel
ã̘,vowel
aj,vowel
aɰ,vowel
aw,vowel
b̤ʰ,consonant
çˀ,consonant
ɕ̰,consonant
d̤ʰ,consonant
ð̪ʲ,consonant
dy,consonant
d̠ʓʰ,consonant
ðˤː,consonant
ew,vowel
ə̘,vowel
əe,vowel
əɛ,vowel
ɜu,vowel
ɤɯ,vowel
ɤɰ,vowel
ɡ̥,consonant
ɡbʰ,consonant
ɡ̈ʱ,consonant
ɡʷʰ,consonant
H1,consonant
H2,consonant
H3,consonant
ħh,consonant
ʰʈʂ,consonant
ʱr,consonant
i̝,vowel
ĩ̘,vowel
ɨə̯,vowel
ja,vowel
je,vowel
jẽ,vowel
jʼ,consonant
ɟ̈ʱ,consonant
K,consonant
khl,consonant
khr,consonant
kr,consonant
L,consonant
lɻ,consonant
ly,consonant
ɬʷˀ,consonant
ɬˀ,consonant
ɬʼː,consonant
ɬˤ,consonant
m̺,consonant
mʷʼ,consonant
n̻d̻z̻,consonant
n̺d̺z̺,consonant
ntɕʰ,consonant
ntʲ,consonant
n̥ǀ,consonant
n̥ǁ,consonant
nǂ,consonant
n̥ǂ,consonant
nǃ,consonant
n̥ǃ,consonant
ɲˀ,consonant
ŋʷʼ,consonant
ŋʼ,consonant
o̥,vowel
pːʷ,consonant
pl,consonant
pr,consonant
ř,consonant
ræ,consonant
rɑ,consonant
rd,consonant
rdʲ,consonant
re,consonant
rɡ,consonant
ri,consonant
riu,consonant
ro,consonant
ru,consonant
ɹ̤,consonant
ṣ,consonant
T1,tone
T2,tone
t2,tone
T3,tone
T4,tone
t̠s̠,consonant
t̠ʃʷˀ,consonant
tθʰ,consonant
t̪θ̪ʼ,consonant
u̝,vowel
ũ̘,vowel
ɰʷ,consonant
ɰʼ,consonant
ɰʼʷ,consonant
ʊai,consonant
W,consonant
wE,consonant
wo,consonant
wõ,consonant
xʷʲ,consonant
xˀ,consonant
ʕ̞,consonant
ʕɦ,consonant
ǀ,consonant
ǀʰ,consonant
ǀx,consonant
ǀxʼ,consonant
ǀʼ,consonant
ǁ,consonant
ǁ̟,consonant
ǁʰ,consonant
ǁx,consonant
ǁxʼ,consonant
ǁʼ,consonant
ǂ,consonant
ǂ͇,consonant
ǂxʼ,consonant
ǂʼ,consonant
ǃ,consonant
ǃʰ,consonant
ǃx,consonant
ǃxʼ,consonant
ǃʼ,consonant
θ̪ʼ,consonant
θʼː,consonant
θˤ,consonant
θˤː,consonant